"device_type","ip","username","password","secret","login"
"cisco_ios","192.168.66.201","admin","cisco","",True
"cisco_ios","192.168.66.202","admin","cisco","",True
"cisco_ios","192.168.66.203","admin","cisco","",True
"cisco_ios","192.168.66.204","admin","cisco","",True
"cisco_ios","192.168.66.205","admin","cisco","",True
"cisco_ios","192.168.66.206","admin","cisco","",True
"cisco_ios","192.168.66.207","admin","cisco","",True
"cisco_ios","192.168.66.208","admin","cisco","",True
"cisco_ios","192.168.66.209","admin","cisco","",True
"cisco_ios","192.168.66.210","admin","cisco","",True
"cisco_ios","192.168.66.211","admin","cisco","",True
